_id,x,y,z,timestamp
67d685ef8f4f34655f851e7b,-0.06,-0.37,0.18,1742112239.5834002
67d685f08f4f34655f851e7c,0,-0.43,0.12,1742112240.0612688
67d685f08f4f34655f851e7d,-0.06,-0.37,0.18,1742112240.60698
67d685f18f4f34655f851e7e,-0.06,-0.37,0.18,1742112241.0662475
67d685f18f4f34655f851e7f,0,-0.37,0.12,1742112241.6308985
67d685f28f4f34655f851e80,-0.06,-0.49,0.12,1742112242.1422627
67d685f28f4f34655f851e81,-0.06,-0.37,0.18,1742112242.6551867
67d685f38f4f34655f851e82,0,-0.43,0.12,1742112243.1665525
67d685f68f4f34655f851e83,0,-0.43,0.18,1742112246.0561843
67d685f68f4f34655f851e84,-0.06,-0.43,0.12,1742112246.2598863
67d685f68f4f34655f851e85,0,-0.43,0.12,1742112246.2619305
67d685f68f4f34655f851e86,0,-0.43,0.12,1742112246.2638118
67d685f68f4f34655f851e87,0,-0.37,0.18,1742112246.2656147
67d685f68f4f34655f851e88,0,-0.43,0.18,1742112246.2672768
67d685f68f4f34655f851e89,0,-0.37,0.18,1742112246.6481633
67d685f78f4f34655f851e8a,-0.06,-0.37,0.18,1742112247.1390843
67d685f78f4f34655f851e8b,-0.06,-0.43,0.18,1742112247.6735613
67d685f88f4f34655f851e8c,-0.06,-0.37,0.18,1742112248.1887672
67d685f88f4f34655f851e8d,0,-0.43,0.18,1742112248.6968935
67d685f98f4f34655f851e8e,-0.06,-0.37,0.18,1742112249.1379771
67d685f98f4f34655f851e8f,-0.06,-0.37,0.18,1742112249.644416
67d685fa8f4f34655f851e90,0,-0.43,0.12,1742112250.1493964
67d685fa8f4f34655f851e91,-0.06,-0.43,0.18,1742112250.7442715
67d685fb8f4f34655f851e92,-0.06,-0.37,0.12,1742112251.1749523
67d685fb8f4f34655f851e93,0,-0.37,0.18,1742112251.6651647
67d685fc8f4f34655f851e94,-0.06,-0.37,0.18,1742112252.1781173
67d685fd8f4f34655f851e95,-0.06,-0.37,0.18,1742112253.0195472
67d685fd8f4f34655f851e96,0,-0.43,0.12,1742112253.4080892
67d685fd8f4f34655f851e97,0,-0.37,0.18,1742112253.7125683
67d685fe8f4f34655f851e98,-0.06,-0.37,0.18,1742112254.2307332
67d685fe8f4f34655f851e99,0,-0.37,0.18,1742112254.7377133
67d685ff8f4f34655f851e9a,0,-0.37,0.18,1742112255.2001584
67d685ff8f4f34655f851e9b,-0.06,-0.37,0.18,1742112255.761231
67d686008f4f34655f851e9c,0,-0.43,0.18,1742112256.278855
67d686008f4f34655f851e9d,0.12,-0.24,0.18,1742112256.7871468
67d686018f4f34655f851e9e,0,-0.43,0.18,1742112257.2181976
67d686018f4f34655f851e9f,-0.06,-0.43,0.18,1742112257.809745
67d686028f4f34655f851ea0,-0.06,-0.49,0.18,1742112258.3217027
67d686028f4f34655f851ea1,-0.06,-0.37,0.18,1742112258.8345613
67d686038f4f34655f851ea2,0,-0.43,0.18,1742112259.2415712
67d686038f4f34655f851ea3,-0.06,-0.37,0.18,1742112259.7585545
67d686048f4f34655f851ea4,-0.06,-0.37,0.18,1742112260.2731264
67d686048f4f34655f851ea5,0,-0.37,0.18,1742112260.7513478
67d686058f4f34655f851ea6,-0.06,-0.37,0.18,1742112261.2572474
67d686058f4f34655f851ea7,0,-0.37,0.18,1742112261.8048162
67d686068f4f34655f851ea8,0,-0.37,0.18,1742112262.3201787
67d686068f4f34655f851ea9,-0.06,-0.49,0.18,1742112262.828324
67d686078f4f34655f851eaa,0,-0.43,0.18,1742112263.3392828
67d686078f4f34655f851eab,-0.06,-0.43,0.18,1742112263.8535867
67d686088f4f34655f851eac,0,-0.43,0.18,1742112264.3634365
67d686088f4f34655f851ead,-0.06,-0.43,0.18,1742112264.875294
67d686098f4f34655f851eae,-0.06,-0.43,0.18,1742112265.3902278
67d686098f4f34655f851eaf,0,-0.43,0.18,1742112265.900815
67d6860a8f4f34655f851eb0,0,-0.43,0.12,1742112266.3079574
67d6860a8f4f34655f851eb1,-0.06,-0.49,0.12,1742112266.814444
67d6860b8f4f34655f851eb2,0,-0.37,0.12,1742112267.3331661
67d6860b8f4f34655f851eb3,-0.06,-0.37,0.18,1742112267.8504028
67d6860c8f4f34655f851eb4,0,-0.43,0.18,1742112268.6845572
67d6860c8f4f34655f851eb5,0,-0.37,0.18,1742112268.9956734
67d6860d8f4f34655f851eb6,0,-0.43,0.18,1742112269.380843
67d6860d8f4f34655f851eb7,0,-0.43,0.12,1742112269.894226
67d6860e8f4f34655f851eb8,-0.12,-0.37,0.18,1742112270.4054382
67d6860e8f4f34655f851eb9,-0.06,-0.43,0.18,1742112270.9172444
67d6860f8f4f34655f851eba,-0.06,-0.43,0.12,1742112271.356224
67d6860f8f4f34655f851ebb,-0.06,-0.37,0.12,1742112271.8617115
67d686108f4f34655f851ebc,0,-0.43,0.18,1742112272.4550993
67d686108f4f34655f851ebd,0,-0.43,0.18,1742112272.9664361
67d686118f4f34655f851ebe,0,-0.37,0.18,1742112273.3769076
67d686118f4f34655f851ebf,-0.06,-0.43,0.18,1742112273.8817043
67d686128f4f34655f851ec0,-0.06,-0.31,0.12,1742112274.398529
67d686128f4f34655f851ec1,0,-0.43,0.18,1742112274.911445
67d686138f4f34655f851ec2,0,-0.37,0.12,1742112275.399771
67d686138f4f34655f851ec3,0,-0.43,0.18,1742112275.93519
67d686148f4f34655f851ec4,0,-0.37,0.18,1742112276.4488993
67d686148f4f34655f851ec5,-0.06,-0.43,0.18,1742112276.95901
67d686158f4f34655f851ec6,0,-0.37,0.18,1742112277.4697955
67d686158f4f34655f851ec7,-0.06,-0.37,0.18,1742112277.9835713
67d686168f4f34655f851ec8,0,-0.43,0.18,1742112278.4952693
67d686178f4f34655f851ec9,-0.06,-0.37,0.18,1742112279.0076363
67d686178f4f34655f851eca,0,-0.31,0.12,1742112279.5280018
67d686188f4f34655f851ecb,0,-0.37,0.12,1742112280.0364492
67d686188f4f34655f851ecc,-0.06,-0.43,0.18,1742112280.5439947
67d686198f4f34655f851ecd,-0.06,-0.37,0.18,1742112281.054951
